Img; Root; X; Y; theta; Diam; bLength; aLength; BirthTime; rootOrder; insertA; parentRoot; pathRoot
05_05_2014_R001.xml; BMEC1_R001_A1; 10.03095; 10.248894; 4.605591; 0.09188932; 5.5808907; 9.058661; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.004188; 10.4985285; 4.576921; 0.09557359; 5.8319564; 8.807596; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 9.974088; 10.719359; 4.641761; 0.11516221; 6.054829; 8.584723; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 9.957573; 10.952799; 4.658212; 0.10206198; 6.288852; 8.3507; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 9.945875; 11.168508; 4.7684402; 0.093852185; 6.5048776; 8.134675; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 9.956458; 11.357125; 4.8505435; 0.10544437; 6.6937923; 7.9457593; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 9.983023; 11.548181; 5.0169; 0.10544437; 6.886685; 7.7528667; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.060634; 11.795125; 5.244082; 0.10544437; 7.1455383; 7.4940143; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.252235; 12.120871; 5.4185324; 0.1149031; 7.5234556; 7.116097; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.401652; 12.296069; 5.1975393; 0.1149031; 7.753716; 6.885836; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.609368; 12.690086; 5.0291467; 0.1149031; 8.199133; 6.4404197; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.657759; 12.837708; 4.9859824; 0.114661984; 8.354484; 6.2850685; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.7205925; 13.061612; 4.9626713; 0.10552838; 8.587037; 6.052515; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.779867; 13.293478; 4.958321; 0.10757244; 8.82636; 5.813193; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.830066; 13.493462; 4.9056516; 0.10722469; 9.032547; 5.6070056; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.870107; 13.698058; 4.86439; 0.10722469; 9.241024; 5.398528; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.903171; 13.913907; 4.847663; 0.103749; 9.459391; 5.180162; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.929908; 14.110353; 4.8277683; 0.104369424; 9.657648; 4.9819045; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.957866; 14.351589; 4.86504; 0.104369424; 9.900499; 4.7390532; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.986088; 14.535031; 4.8677497; 0.104369424; 10.0861; 4.5534525; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 11.016662; 14.730236; 4.8129683; 0.104369424; 10.283684; 4.3558683; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 11.042533; 14.986588; 4.836742; 0.104369424; 10.541338; 4.098215; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 11.068402; 15.193551; 4.813489; 0.104369424; 10.749912; 3.8896403; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 11.089592; 15.402422; 4.8764; 0.10227481; 10.959855; 3.679697; 0.0;0; 0.0;-1;-1
